word,word_len,uni_prob,bi_prob,pos_uni_freq,pos_bi_freq
SH ER CH,3,-12.924403285544242,-15.319721300416582,1.052989577697455,1.0012124550619543
S AH SH,3,-9.287227383721397,-12.57453631587352,1.1969179494320725,1.0128579944878908
L AE N,3,-9.129448622450024,-9.701290576285336,1.1874068012097265,1.01630154191817
SH AY B,3,-12.36533806752848,-16.826054491175963,1.0695308031873711,1.0014852936923728
HH UW ZH,3,-16.20766612364271,-13.80593022368259,1.063088565562893,1.0010500384752166
S EH ZH,3,-13.11121072557925,-13.396363745934702,1.1808945595330138,1.00893210301699
F IH S,3,-9.576572567953958,-9.02525325202975,1.23102440247398,1.026363772134871
K IH L P,4,-12.091502579206963,-16.966383362692422,1.2975346555909737,1.0132672120177437
TH EY ZH,3,-16.374023766741345,-17.461414602755557,1.0330897974355386,1.000117185091527
L AW TH,3,-13.995343717148497,-14.498882734724255,1.04804090241575,1.0007804033937777
K P IH NG,4,-14.01459294609841,-15.175532912490755,1.1476738710115535,1.0042365092557892
G EY ZH,3,-15.238554716749055,-13.868282794224065,1.0529601742741306,1.001126619420059
K AE Z,3,-11.15970752934831,-11.189269825926223,1.175982107277659,1.0095568528718761
R AE L,3,-9.431650295811849,-9.541845148282006,1.1909002399902122,1.0106178999339714
R AH F T,4,-11.874204358687562,-13.028100643285878,1.244286374705372,1.008954037241253
JH AO B,3,-12.979832289565188,-17.29248458201266,1.0734121128508676,1.0008566283887337
K IY T,3,-8.89316615787228,-11.214613118322207,1.1975404236025076,1.0043422554844579
S ER M,3,-9.734369746226609,-11.23182815663734,1.1874915750109516,1.0072067180837698
Y ER G,3,-12.933081825423171,-15.300135672512335,1.0594444650006916,1.001365972901526
N AW TH,3,-13.792796823738868,-15.8280604177219,1.0386490446131342,1.0005474570102704
CH UW V,3,-13.95713359050377,-12.671591618481939,1.0543716735169322,1.0007041783988218
B ER S,3,-10.150374068222945,-10.472820550708075,1.1664189178892328,1.0054692308544038
CH AO CH,3,-14.82946622825306,-18.517256862542634,1.0499625253133924,1.000194477936143
P AE Z,3,-11.60546318148402,-11.287701678735294,1.163524312423776,1.0061403059137677
S AY M,3,-10.528730199044478,-11.467216787348903,1.1867150870659269,1.0043176949422796
F IY S,3,-10.008833884205666,-11.616934512688252,1.171584250282343,1.0053930058594478
F AW JH,3,-14.339537046652879,-15.48235594629666,1.068255145456195,1.0004274243196503
P AE JH,3,-11.890420674960499,-11.729873309520048,1.1543169308463752,1.0060619452194919
DH AH G,3,-13.5074966772026,-15.974062708734708,1.101959605856417,1.002505406517504
D EH S,3,-9.642971274780745,-9.736819636076996,1.2170806428777698,1.0127507501335828
D IH TH,3,-11.670509341552656,-11.35491473358293,1.1721502204249292,1.0290484800414281
Y AO NG,3,-14.171305311377592,-13.574513109820856,1.053565633180577,1.0014856496422595
N EY N,3,-9.205789484225402,-11.878256441388864,1.13767639466308,1.0041452858991087
W UW DH,3,-16.02408454626103,-16.639983324089556,1.0475016846758423,1.0004281362194234
CH EH N,3,-11.291525756598734,-10.89745044087543,1.1726624351398776,1.0137779560968398
HH EH S,3,-11.163011372929803,-9.190636496198703,1.1933293330628905,1.0110036522572772
S AE N,3,-9.12018125233011,-9.633111583967551,1.262386426311601,1.0165344883016774
G IH N,3,-9.790874900285885,-10.39925017451667,1.220059836991686,1.010056535018515
N AO B,3,-10.89004116103725,-17.52031766882875,1.0808246948355769,1.001749589525512
SH AW L,3,-12.653397346482915,-15.704748918888685,1.087762349504367,1.0006258177045462
B IH S,3,-9.396367758673478,-9.164070131853034,1.2353710474074222,1.0267131917101322
N AY DH,3,-13.725952768300175,-16.767686043027734,1.057207844258604,1.001903819264857
T AE L,3,-9.191866788978924,-10.868434760059527,1.1732419949481039,1.0099578851807005
F UW SH,3,-12.757717396752593,-14.403114584745222,1.0792250083338484,1.0005449653610639
R IH N,3,-8.27271618319704,-8.41378800535875,1.2525044366734495,1.0211991370296187
R IH V,3,-9.912794585172445,-9.595748270431994,1.184918337860614,1.016340773984522
S IH JH,3,-10.253585161652868,-10.20854141852441,1.2190264730124696,1.0110795471619536
