word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
B AE L,3,-10.362046730148755,nan,-10.36212113478198,nan,-9.709414945226865,nan,-9.72608748163445,nan,1.1847428623894263,nan,1.184583854156107,nan,1.0121795988572762,nan,1.0115867582558784,nan
B AE P,3,-11.033268779328981,nan,-11.033252184777549,nan,-11.479829398108048,nan,-11.495553294614842,nan,1.1544305771332608,nan,1.1543166334798596,nan,1.0089727575959186,nan,1.0085559085355102,nan
B IH S,3,-9.40070769016222,nan,-9.400923081873046,nan,-9.145510714493625,nan,-9.159839514959963,nan,1.2362203888907237,nan,1.2359855550255128,nan,1.0267346698982924,nan,1.0253425467013495,nan
CH AE L,3,-11.720820025288898,nan,-11.720126548210672,nan,-12.007373092699444,nan,-12.02952666084531,nan,1.1399628081562232,nan,1.139869477111242,nan,1.0075438622274189,nan,1.0072023567445074,nan
CH AE N,3,-11.517644275219581,nan,-11.516968289276718,nan,-11.029984214242468,nan,-11.05322470999305,nan,1.164434061114916,nan,1.164304349218893,nan,1.0134994245699402,nan,1.0128310776537623,nan
CH EH N,3,-11.291310928537271,nan,-11.290681155793342,nan,-10.87173289652063,nan,-10.89779807996928,nan,1.1733663341334213,nan,1.1732235122476449,nan,1.0139918193038735,nan,1.0132966497011555,nan
CH IH S,3,-10.75948098530236,nan,-10.758928495301738,nan,-11.436548419121632,nan,-11.46260350002686,nan,1.1914403346575209,nan,1.191271177980648,nan,1.0229280894136128,nan,1.0217423470863214,nan
D AE L,3,-9.87799134744737,nan,-9.878167702264115,nan,-11.189717236086626,nan,-11.192708725441033,nan,1.1945349684454671,nan,1.194361598505699,nan,1.0081845737941473,nan,1.007808330937136,nan
D AE S,3,-9.868805241845081,nan,-9.868982466529236,nan,-11.279415535832442,nan,-11.282362600850902,nan,1.2088512240765277,nan,1.208656570487554,nan,1.0077264536139534,nan,1.0073753524056548,nan
D EH M,3,-10.26256207581497,nan,-10.262704538968423,nan,-10.68421610362182,nan,-10.697919420092093,nan,1.1843025472591928,nan,1.184144559041408,nan,1.0112917798587124,nan,1.010748162666261,nan
D EH P,3,-10.322880049945287,nan,-10.32301161877631,nan,-11.788000138909974,nan,-11.798842666381553,nan,1.173154956207807,nan,1.1730135408582036,nan,1.0093065924112055,nan,1.0088719223631761,nan
D EH S,3,-9.642471895162771,nan,-9.64269533304586,nan,-9.735690366360174,nan,-9.748328904254267,nan,1.217783497095033,nan,1.217575733516306,nan,1.0125897870359286,nan,1.0119749351721243,nan
D IH DH,3,-12.90281229114849,nan,-12.898160595119919,nan,-12.907148344888142,nan,-13.011565180624611,nan,1.1675975907702358,nan,1.1674649728398248,nan,1.0287649346932701,nan,1.027276686732133,nan
D IH JH,3,-10.815785378079395,nan,-10.815567459277737,nan,-9.819156107753692,nan,-9.847130174178941,nan,1.1751565737434357,nan,1.1750127180462442,nan,1.029681175053658,nan,1.0281426437950953,nan
D IH T,3,-8.783981484869674,nan,-8.78431053827356,nan,-8.381970065695505,nan,-8.393769527515962,nan,1.2286039280993952,nan,1.2283806134451694,nan,1.0340333167655005,nan,1.0322559398441662,nan
D IH TH,3,-11.684726349346088,nan,-11.683637579898829,nan,-11.256139927241662,nan,-11.29975989607619,nan,1.1717206723919813,nan,1.171581924770599,nan,1.02903217146505,nan,1.0275292575421637,nan
D IH V,3,-10.365978030427723,nan,-10.365988110552273,nan,-9.040150511340018,nan,-9.062370476133916,nan,1.1881748221972803,nan,1.188011612568411,nan,1.0318572459095794,nan,1.0301992918196308,nan
D IH Z,3,-10.527788493725126,nan,-10.527728067546153,nan,-8.567460113663367,nan,-8.59285878944288,nan,1.1845098607557287,nan,1.1843520997410562,nan,1.0323153660897733,nan,1.030632270351112,nan
D IH ZH,3,-12.923325830981591,nan,-12.918569466751126,nan,-12.75838046953136,nan,-12.869946120979069,nan,1.1660705235029227,nan,1.165940175828427,nan,1.028344991194759,nan,1.026879789744942,nan
F AE L,3,-10.541131437123969,nan,-10.541153738422842,nan,-10.304392781280896,nan,-10.318755995658446,nan,1.1800351190932525,nan,1.1798830155264954,nan,1.0092398634334643,nan,1.0088064060779358,nan
F AE S,3,-10.53194533152168,nan,-10.531968502687963,nan,-10.394091081026712,nan,-10.408409871068315,nan,1.194351374724313,nan,1.1941779875083505,nan,1.0087817432532704,nan,1.0083734275464546,nan
F EH K,3,-10.541491842651727,nan,-10.54153615218773,nan,-9.84655250686965,nan,-9.864518333478784,nan,1.1763690871564245,nan,1.176222603211215,nan,1.0094689235235614,nan,1.0090228953436764,nan
F EH S,3,-10.30561198483937,nan,-10.305681369204587,nan,-9.733171438972198,nan,-9.7500555553423,nan,1.2032836477428184,nan,1.2030971505371024,nan,1.0088962732983189,nan,1.0084816721793248,nan
F IH K,3,-9.81567225494979,nan,-9.815810468497052,nan,-9.218679756687743,nan,-9.235909452170446,nan,1.2045980850081563,nan,1.204410169070014,nan,1.0130703444517977,nan,1.0124279698667786,nan
F IH S,3,-9.579792397137433,nan,-9.579955685513909,nan,-8.997785695498703,nan,-9.014291565346936,nan,1.2315126455945502,nan,1.2312847163959013,nan,1.026508536404153,nan,1.0251286734568923,nan
G AE N,3,-10.753162946796763,nan,-10.753039204894124,nan,-9.746453363515743,nan,-9.76538221687807,nan,1.183039062621394,nan,1.1828820634831176,nan,1.014705469872017,nan,1.0139717349575337,nan
G EH N,3,-10.526829600114453,nan,-10.526752071410748,nan,-10.602073106006923,nan,-10.605693965390685,nan,1.1919713356398993,nan,1.1918012265118696,nan,1.0132003520743857,nan,1.0125480933455557,nan
G IH N,3,-9.801010012412517,nan,-9.801026387720071,nan,-10.370102230927953,nan,-10.381671513452982,nan,1.2202003334916312,nan,1.2199887923706685,nan,1.0100219321748523,nan,1.0095446050985328,nan
G IH S,3,-9.994999656879543,nan,-9.994999410919146,nan,-10.706902681621344,nan,-10.718852550343815,nan,1.210045336163999,nan,1.2098488922448727,nan,1.0231165339920623,nan,1.0219205747900355,nan
